block,parameters,type,default,description
"diffusion","boundary_prolongation","string","Linear",""
"diffusion","cfl","Real","1",""
"diffusion","constant_coefficient","bool","1",""
"diffusion","diagonal_alpha","Real","1",""
"diffusion","dt","Real","1",""
"diffusion","flux_correct","bool","0",""
"diffusion","set_flux_boundary","bool","0",""
"diffusion","solver","string","MG",""
"diffusion","t0","Real","0.001",""
"diffusion","x0","Real","0",""
"diffusion","y0","Real","0",""
"diffusion","z0","Real","0",""
"","","","",""
"diffusion/solver_params","block_interior_prolongation","string","MetadataDefault",""
"diffusion/solver_params","do_FAS","bool","1","Use the full approximation scheme in multigrid, required for amr."
"diffusion/solver_params","max_coarsenings","int","2147483647","Maximum number of levels to include in the multigrid hierarchy."
"diffusion/solver_params","max_iterations","int","1000",""
"diffusion/solver_params","postsmoother","string","SRJ2","Post-smoother used in multigrid.; Allowed values: SRJ1, SRJ2, SRJ3"
"diffusion/solver_params","presmoother","string","SRJ2","Pre-smoother used in multigrid.; Allowed values: SRJ1, SRJ2, SRJ3"
"diffusion/solver_params","prolongation","string","OldLinear",""
"diffusion/solver_params","residual_tolerance","Real","1e-12",""
"diffusion/solver_params","smoother","string","SRJ2","Default value of the pre- and post-smoother in multigrid.; Allowed values: SRJ1, SRJ2, SRJ3"
